"","","","2015 [2015]","2015 [2015]","2015 [2015]","2016 [2016]","2016 [2016]","2016 [2016]","2017 [2017]","2017 [2017]","2017 [2017]","2018 [2018]","2018 [2018]","2018 [2018]","2019 [2019]","2019 [2019]","2019 [2019]","2020 [2020]","2020 [2020]","2020 [2020]"
"","","","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description"
"Bangladesh [16]","Area harvested [5312]","Rice, paddy [27]","ha","11381221","Official data","ha","11000809","Official data","ha","11615000","Official data","ha","11515000","Official data","ha","11515545","Official data","ha","11417745","Official data"
"Brazil [21]","Area harvested [5312]","Rice, paddy [27]","ha","2138397","Official data","ha","1943938","Official data","ha","2006202","Official data","ha","1872155","Official data","ha","1710063","Official data","ha","1677705","Official data"
"Cambodia [115]","Area harvested [5312]","Rice, paddy [27]","ha","2799126","FAO data based on imputation methodology [Im]","ha","2889449","FAO data based on imputation methodology [Im]","ha","2972213","FAO data based on imputation methodology [Im]","ha","3036117","FAO data based on imputation methodology [Im]","ha","2964493","FAO data based on imputation methodology [Im]","ha","2917391","FAO data based on imputation methodology [Im]"
"China, Taiwan Province of [214]","Area harvested [5312]","Rice, paddy [27]","ha","251861","Official data","ha","273837","Official data","ha","274677","Official data","ha","271506","Official data","ha","270066","Official data","ha","261784","Official data"
"China, mainland [41]","Area harvested [5312]","Rice, paddy [27]","ha","30784000","Official data","ha","30746000","Official data","ha","30747190","Official data","ha","30189450","Official data","ha","29690000","Official data","ha","30080000","Official data"
"India [100]","Area harvested [5312]","Rice, paddy [27]","ha","43390000","Official data","ha","43190000","Official data","ha","43774070","Official data","ha","44156450","Official data","ha","43780000","Unofficial figure [*]","ha","45000000","Unofficial figure [*]"
"Indonesia [101]","Area harvested [5312]","Rice, paddy [27]","ha","11389000","FAO estimate [F]","ha","10600000","FAO estimate [F]","ha","10900000","FAO estimate [F]","ha","11377934","Official data","ha","10677887","Official data","ha","10657275","Official data"
"Iran (Islamic Republic of) [102]","Area harvested [5312]","Rice, paddy [27]","ha","529967","Official data","ha","596035","Official data","ha","396877","Official data","ha","427373","Official data","ha","420349","FAO data based on imputation methodology [Im]","ha","422746","FAO data based on imputation methodology [Im]"
"Italy [106]","Area harvested [5312]","Rice, paddy [27]","ha","227331","Official data","ha","234133","Official data","ha","234133","Official data","ha","217190","Official data","ha","220030","Official data","ha","227320","Official data"
"Japan [110]","Area harvested [5312]","Rice, paddy [27]","ha","1589000","Unofficial figure [*]","ha","1570000","Unofficial figure [*]","ha","1557000","Unofficial figure [*]","ha","1470000","Official data","ha","1470000","Official data","ha","1462000","Official data"
"Lao People's Democratic Republic [120]","Area harvested [5312]","Rice, paddy [27]","ha","965152","Official data","ha","973327","Official data","ha","956134","Official data","ha","848174","Official data","ha","807239","FAO data based on imputation methodology [Im]","ha","821188","FAO data based on imputation methodology [Im]"
"Malaysia [131]","Area harvested [5312]","Rice, paddy [27]","ha","681559","Official data","ha","688770","Official data","ha","685548","Official data","ha","699980","Official data","ha","672084","Official data","ha","645511","Official data"
"Myanmar [28]","Area harvested [5312]","Rice, paddy [27]","ha","6769494","Official data","ha","6723986","Official data","ha","6945982","Official data","ha","7149311","Official data","ha","6920875","Official data","ha","6655811","FAO data based on imputation methodology [Im]"
"Nepal [149]","Area harvested [5312]","Rice, paddy [27]","ha","1425346","Official data","ha","1362908","Official data","ha","1552469","Official data","ha","1469545","Official data","ha","1491744","Official data","ha","1458915","Official data"
"Pakistan [165]","Area harvested [5312]","Rice, paddy [27]","ha","2739495","Official data","ha","2724013","Official data","ha","2900595","Official data","ha","2810030","Official data","ha","3033909","Official data","ha","3335105","Official data"
"Philippines [171]","Area harvested [5312]","Rice, paddy [27]","ha","4656227","Official data","ha","4556043","Official data","ha","4811808","Official data","ha","4800406","Official data","ha","4651490","Official data","ha","4718896","Official data"
"Republic of Korea [117]","Area harvested [5312]","Rice, paddy [27]","ha","799344","Official data","ha","778734","Official data","ha","754713","Official data","ha","737673","Official data","ha","729814","Official data","ha","726432","Official data"
"Spain [203]","Area harvested [5312]","Rice, paddy [27]","ha","109290","Official data","ha","109272","Official data","ha","107604","Official data","ha","105010","Official data","ha","103370","Official data","ha","102060","Official data"
"Sri Lanka [38]","Area harvested [5312]","Rice, paddy [27]","ha","1243345","FAO data based on imputation methodology [Im]","ha","1141323","Official data","ha","791679","Official data","ha","1040954","Official data","ha","957596","Official data","ha","1066403","Official data"
"Thailand [216]","Area harvested [5312]","Rice, paddy [27]","ha","9717975","Official data","ha","10734279","FAO data based on imputation methodology [Im]","ha","10719698","Official data","ha","10647941","Official data","ha","9812614","Official data","ha","10401653","Official data"
"United States of America [231]","Area harvested [5312]","Rice, paddy [27]","ha","1042080","Official data","ha","1253320","Official data","ha","960730","Official data","ha","1177650","Official data","ha","1002420","Official data","ha","1208810","Official data"
"Viet Nam [237]","Area harvested [5312]","Rice, paddy [27]","ha","7828607","Official data","ha","7734722","Official data","ha","7708534","Official data","ha","7570741","Official data","ha","7451544","Official data","ha","7222618","Official data"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
